transaction_amount,customer_age,account_balance,num_transactions_30d,transaction_hour,distance_from_home_km,merchant_category,is_fraud
9544.11,36,126841.95,14,15,2.34,electronics,0
14570.43,46,48437.18,13,14,4.98,utilities,0
10261.47,31,78112.73,23,11,6.23,electronics,1
6149.37,33,36973.62,21,13,24.8,electronics,0
47404.11,31,88794.07,11,7,0.97,electronics,0
14694.300000000001,23,119353.54,10,14,22.53,electronics,0
24413.34,29,37272.81,18,12,12.16,utilities,0
14210.130000000001,22,71421.78,25,5,93.09,grocery,1
64572.75,39,79739.99,19,14,21.53,travel,1
17176.079999999998,19,63121.15,33,1,33.16,grocery,1
28815.0,24,128990.21,12,14,3.8,travel,1
9148.47,53,107787.35,11,12,2.65,entertainment,1
8320.92,18,123413.31,10,16,3.84,utilities,0
29667.120000000003,23,133436.96,28,8,67.54,grocery,1
20165.760000000002,21,40614.12,20,20,21.58,electronics,0
15732.060000000001,23,65907.79,21,18,2.19,travel,0
20326.98,33,82733.88,22,8,3.77,utilities,0
28482.629999999997,25,83004.37,21,19,9.69,travel,0
14306.28,18,53288.45,30,5,40.11,grocery,1
32876.43,35,39786.4,24,2,82.12,grocery,1
17786.52,27,44827.43,14,9,15.42,grocery,0
2622.2400000000002,48,85415.05,16,15,17.46,grocery,0
10233.66,18,50466.63,14,13,23.02,travel,0
4958.28,42,72671.51,16,12,2.2,electronics,1
33617.729999999996,33,97606.78,14,10,13.85,electronics,0
20163.78,37,40349.23,20,9,18.55,electronics,1
6057.0,18,33312.12,12,10,16.98,utilities,1
35881.17,32,188332.85,14,8,10.14,entertainment,1
16545.81,47,84058.9,13,13,15.78,utilities,1
12790.74,42,24001.22,22,15,10.08,travel,0
5135.7300000000005,28,190162.74,15,14,2.28,utilities,1
14646.57,30,40120.08,11,14,7.8,electronics,0
8290.650000000001,34,206574.71,17,11,11.91,entertainment,1
29307.629999999997,36,129033.22,14,14,11.72,travel,1
16981.56,34,106044.02,14,14,25.97,travel,0
33375.45,22,39078.58,25,6,135.64,electronics,1
31791.629999999997,21,73390.48,13,21,13.28,utilities,1
9081.869999999999,37,72193.42,15,19,2.95,entertainment,0
6449.76,44,115637.1,17,12,2.37,electronics,0
33402.24,22,190181.03,13,16,12.62,utilities,0
25099.23,21,86384.28,13,16,9.52,travel,1
7838.91,67,105682.43,12,20,3.47,utilities,0
38544.33,37,53443.99,34,1,133.39,electronics,1
52909.11,43,39294.27,14,10,24.75,travel,1
9445.68,50,22497.06,10,13,30.6,entertainment,0
20060.28,18,37997.68,14,18,17.13,grocery,0
6794.73,33,151231.36,10,13,26.97,utilities,1
5704.049999999999,21,65442.06,13,20,10.39,utilities,1
4731.36,39,84351.81,13,16,14.29,travel,1
25507.56,25,94028.11,31,3,26.52,travel,1
15354.84,45,61047.41,12,12,11.16,grocery,0
5252.01,46,63806.09,15,12,18.82,entertainment,0
11291.130000000001,41,26488.39,16,13,19.6,utilities,0
24151.739999999998,20,86426.49,14,13,35.39,utilities,0
24817.02,38,30349.33,19,15,2.27,utilities,0
14425.920000000002,30,32901.26,12,12,6.93,entertainment,1
28582.350000000002,33,36014.36,26,13,20.75,entertainment,1
10458.51,25,102092.88,14,19,4.77,entertainment,0
3968.6099999999997,33,35424.05,20,13,1.88,grocery,0
10658.58,25,72284.73,15,16,3.67,travel,1
11884.95,43,78623.76,14,13,20.94,utilities,0
39778.74,40,51686.77,13,11,20.86,travel,0
11486.369999999999,51,83134.06,14,10,12.68,utilities,1
64914.87,34,73110.12,13,17,8.05,electronics,1
5669.9400000000005,47,77324.94,11,10,22.16,utilities,1
13568.97,27,93789.5,24,9,25.61,travel,0
5543.58,40,80623.88,13,18,2.8,utilities,0
7157.91,32,47643.67,14,15,22.07,grocery,0
10172.16,31,65054.38,12,9,1.01,travel,0
26910.21,45,68854.91,28,0,7.03,grocery,1
17028.21,24,40074.33,17,16,2.96,electronics,0
20702.31,29,100774.27,13,15,1.62,electronics,0
7459.32,34,54367.66,18,19,2.67,utilities,0
18209.670000000002,25,115428.87,18,17,12.07,electronics,0
51710.04,56,58882.12,11,7,2.51,entertainment,1
49846.44,27,54596.44,17,9,16.22,utilities,1
49812.12,26,54381.23,33,9,127.54,grocery,1
62279.64,50,81243.34,23,13,18.13,travel,1
33049.08,50,79647.16,11,13,2.68,entertainment,0
23097.66,20,25693.3,32,3,112.51,grocery,1
14392.439999999999,40,145839.25,13,14,26.57,entertainment,0
7978.23,33,30133.62,13,9,1.93,electronics,1
13969.29,40,36677.8,13,15,4.2,electronics,0
37364.37,18,63137.63,25,1,89.56,travel,1
8057.039999999999,22,136732.25,16,10,23.49,electronics,1
6654.99,41,75398.86,21,12,6.25,travel,1
24274.86,36,26827.17,29,4,189.52,grocery,1
11330.31,43,35551.16,18,12,4.61,travel,0
77965.14,31,178292.01,21,18,3.38,electronics,1
13926.75,43,18713.16,14,16,2.73,grocery,0
26977.050000000003,22,25096.37,7,12,28.46,travel,1
13194.329999999998,26,170321.03,11,14,12.45,utilities,0
17183.04,50,82218.37,13,16,13.47,utilities,0
20881.02,19,36006.52,24,4,18.51,electronics,1
20193.03,41,54828.19,12,15,4.51,electronics,0
7069.289999999999,28,47007.42,13,17,7.74,entertainment,0
5370.39,18,180505.55,13,11,2.17,entertainment,0
7668.719999999999,32,54437.41,14,16,13.1,utilities,0
29490.870000000003,22,89496.89,9,13,12.92,grocery,0
45009.57,34,27942.04,24,1,142.03,electronics,1
20613.239999999998,33,160066.02,13,10,4.06,entertainment,0
28009.409999999996,31,106174.91,12,21,2.82,utilities,0
19642.71,22,222951.26,13,13,2.01,travel,1
21066.9,20,61719.54,15,17,3.39,utilities,1
7654.74,60,27074.7,14,14,9.52,utilities,1
17807.1,19,115004.71,12,12,4.13,grocery,1
63222.81,32,132463.19,16,15,5.93,entertainment,1
27699.39,28,181977.82,13,15,1.11,electronics,0
20285.37,43,44080.14,13,10,24.23,entertainment,0
9120.09,24,66228.18,17,14,24.11,entertainment,0
4615.62,18,61345.85,14,17,26.47,grocery,0
9021.599999999999,46,47033.58,14,12,8.21,entertainment,0
40041.57,30,120781.36,13,17,1.45,electronics,0
19313.46,19,45483.82,13,11,28.48,electronics,1
88762.44,35,88024.33,31,4,116.65,electronics,1
31595.31,19,185616.61,24,11,27.93,travel,0
12925.619999999999,27,39160.77,34,2,32.7,electronics,1
8309.31,24,136540.87,21,16,9.56,utilities,0
12478.68,28,108115.36,14,17,9.36,grocery,1
8111.07,21,61072.42,11,11,3.9,travel,0
7027.710000000001,27,53942.78,13,16,10.74,utilities,1
38488.89,26,35980.28,15,15,3.1,utilities,1
13220.130000000001,19,170696.01,25,11,2.01,utilities,0
13131.119999999999,20,93056.74,10,9,19.95,entertainment,0
13857.57,46,99347.15,14,18,8.35,grocery,1
38714.49,33,84251.56,12,11,20.29,entertainment,1
37014.45,18,60599.71,19,11,20.44,travel,0
10714.11,26,39463.67,16,11,19.25,entertainment,0
8158.92,18,42796.26,20,15,5.69,grocery,0
11855.25,50,44238.16,12,18,3.94,travel,0
87931.23,47,60781.0,17,11,3.19,utilities,0
7699.98,23,114480.85,14,15,19.15,travel,0
19564.199999999997,18,132773.66,14,14,1.94,electronics,0
50625.72,55,26358.5,16,10,13.88,grocery,0
15747.24,44,33531.14,13,16,10.93,electronics,0
22644.66,30,66223.74,15,13,15.54,grocery,1
6546.63,19,76989.69,11,14,3.1,electronics,0
110102.91,18,27528.4,19,15,25.8,travel,1
40842.63,30,97255.06,22,9,17.67,electronics,1
6514.74,33,26654.32,13,16,3.35,entertainment,0
16094.79,31,51497.0,13,8,9.03,electronics,1
43563.899999999994,30,30566.99,14,14,13.67,utilities,0
23416.739999999998,30,45164.48,19,14,2.58,travel,0
18825.66,23,25113.04,13,15,31.25,electronics,0
1881.1799999999998,42,123900.81,13,16,12.19,grocery,0
34976.67,28,23413.92,35,0,126.71,electronics,1
10783.2,26,29151.13,14,21,7.45,entertainment,1
9079.17,38,71754.14,10,15,26.47,entertainment,0
14918.400000000001,20,209798.21,13,11,12.91,travel,1
11923.77,29,29821.53,13,9,12.41,electronics,0
40282.979999999996,27,55968.37,14,12,1.03,travel,1
5390.9400000000005,49,80523.16,20,12,0.93,utilities,1
8568.45,32,68095.05,14,9,29.63,utilities,1
14173.650000000001,29,55844.68,21,9,15.87,electronics,0
21651.69,38,59423.98,13,23,14.4,grocery,0
51792.33,45,54128.81,11,12,3.83,utilities,0
10387.77,31,19438.55,18,9,18.94,entertainment,0
14834.369999999999,30,22197.94,11,11,9.41,electronics,0
35073.63,49,22138.93,20,5,44.96,electronics,1
34016.729999999996,19,280393.3,13,17,25.71,utilities,0
36859.8,29,27080.7,23,16,1.54,grocery,0
15798.51,43,54422.55,14,11,14.18,entertainment,0
21211.079999999998,50,64735.83,28,13,4.07,electronics,1
3021.7200000000003,27,38066.74,12,15,13.02,utilities,1
22361.52,35,42842.84,11,13,20.27,electronics,0
9267.84,18,35306.36,13,9,6.03,travel,0
9259.23,29,85184.79,18,11,3.43,grocery,0
18530.88,18,19714.88,14,11,8.44,travel,1
17649.0,27,80490.89,14,10,49.15,travel,1
17708.07,29,68853.43,15,11,9.37,utilities,0
13120.74,22,36745.47,28,4,109.82,grocery,1
14418.57,44,113132.38,21,15,10.95,grocery,0
20161.59,46,35633.73,25,3,110.73,electronics,1
27744.120000000003,54,110988.86,14,19,1.47,grocery,1
8609.7,41,83726.77,13,11,17.92,travel,1
10386.69,31,28370.73,8,13,20.24,utilities,0
18846.72,40,223542.53,15,16,3.95,entertainment,1
4931.91,42,68193.78,13,10,13.56,utilities,1
12360.36,31,28694.47,16,21,18.51,grocery,0
20942.4,32,100431.28,9,15,33.06,entertainment,0
7905.66,27,30290.21,14,12,18.64,utilities,0
9287.76,46,31016.38,13,19,29.83,grocery,0
10816.53,30,34100.42,10,11,6.05,travel,1
5471.1,31,36478.39,14,3,27.78,utilities,0
37559.850000000006,31,96519.21,21,13,28.51,electronics,0
75171.45000000001,44,66566.75,13,16,15.35,utilities,0
4373.49,52,38238.62,13,16,3.74,electronics,0
8548.05,32,137121.4,14,10,1.62,travel,0
3225.33,54,105563.34,13,10,15.54,utilities,1
14978.849999999999,29,66566.17,10,14,10.65,utilities,0
32817.33,44,42404.49,12,11,15.97,utilities,0
25415.760000000002,29,96528.59,15,15,2.66,travel,0
34772.28,32,36389.58,16,10,15.23,travel,1
8945.91,18,135626.37,11,18,2.56,utilities,0
36504.57,27,97897.21,25,11,3.23,electronics,0
5140.7699999999995,27,48433.85,13,13,6.59,grocery,0
8735.49,28,34089.47,19,18,12.42,grocery,0
60000.56999999999,29,23047.85,20,10,34.81,electronics,0
22335.69,27,64539.87,13,22,27.53,utilities,0
16036.14,22,36159.92,13,15,26.29,grocery,0
22614.63,31,101834.45,12,8,3.28,entertainment,0
