transaction_amount,customer_age,account_balance,num_transactions_30d,transaction_hour,distance_from_home_km,merchant_category,is_fraud
2519.22,37,120862.92,15,13,7.35,grocery,0
4014.29,21,142727.5,7,19,25.38,travel,0
3645.01,47,93780.08,12,21,23.47,entertainment,0
4007.87,25,212962.2,17,11,7.96,utilities,0
4977.34,40,133384.83,18,8,23.82,grocery,0
2862.46,34,55996.08,5,16,14.57,travel,0
5534.07,56,68171.94,14,17,13.65,travel,0
1143.98,38,122177.19,17,16,3.07,entertainment,0
8700.17,44,142331.76,14,13,18.98,utilities,0
3452.81,22,87083.76,14,16,1.6,entertainment,0
1947.85,18,63947.49,12,14,1.5,travel,0
900.56,24,259249.53,12,11,32.88,electronics,0
1237.06,33,132914.2,24,18,5.91,grocery,0
10829.36,27,13792.19,16,17,3.98,electronics,0
9641.33,55,177909.24,10,11,18.24,grocery,0
10659.6,38,102360.59,32,2,6.81,grocery,1
12359.36,35,141966.34,14,10,4.35,grocery,0
3837.23,54,63826.7,22,3,64.07,travel,1
9047.93,39,112733.65,14,20,4.17,grocery,0
4767.22,42,93485.51,14,10,12.27,travel,0
4309.95,29,52583.8,15,23,3.9,electronics,0
3981.28,41,93152.03,15,17,14.82,entertainment,0
17262.34,41,56771.23,20,12,0.88,electronics,0
3310.81,29,117628.38,14,14,1.85,travel,0
7422.83,30,63285.0,18,15,10.94,electronics,0
6078.94,53,112874.38,13,16,5.05,grocery,0
1888.67,40,116116.61,14,15,9.16,grocery,0
3835.19,23,39917.07,18,15,13.61,grocery,0
3792.2,42,61452.68,21,8,0.08,utilities,0
10446.63,40,292455.23,17,19,3.13,grocery,0
7410.38,18,63471.46,14,3,2.33,grocery,0
1306.26,37,48831.04,13,18,7.91,utilities,0
16906.95,43,114089.33,18,17,0.52,travel,0
2910.87,41,117470.38,16,17,3.94,grocery,0
13647.15,49,95697.75,17,17,0.06,entertainment,0
12359.08,51,80246.59,13,13,3.62,grocery,0
8408.99,35,107125.67,10,6,11.97,grocery,0
5417.65,39,152036.04,17,7,19.55,utilities,0
3952.54,40,96163.19,18,9,26.21,utilities,0
1772.04,58,87384.89,15,11,0.99,utilities,0
5808.1,25,60417.05,10,14,8.65,travel,0
9362.2,37,12829.96,23,19,44.38,grocery,1
4296.37,31,41350.32,12,9,10.38,entertainment,0
7423.9,39,85067.8,11,10,0.95,grocery,0
3043.49,31,195592.78,15,9,3.97,grocery,0
6255.66,31,68372.3,11,16,2.89,grocery,0
22031.75,32,49315.21,23,10,7.55,travel,1
5546.34,18,87785.8,13,17,9.45,grocery,0
4361.56,40,83384.06,22,17,2.6,entertainment,0
5085.73,18,96187.31,13,14,0.28,grocery,0
8305.79,30,75184.59,14,20,4.08,grocery,0
6504.84,52,80621.0,14,5,6.33,utilities,0
11563.88,48,115362.25,16,17,6.44,grocery,0
11613.54,18,19486.34,18,19,0.54,entertainment,0
6148.24,51,13615.7,15,18,5.58,entertainment,0
4291.35,45,66240.26,11,18,2.84,grocery,0
5507.31,46,54189.47,16,12,8.53,entertainment,0
4663.96,23,24121.69,19,8,25.4,entertainment,0
9233.52,18,51405.85,31,1,74.36,electronics,1
10300.44,29,46623.51,25,4,1.6,grocery,1
2648.08,40,73250.8,11,17,0.05,utilities,0
6065.73,39,32954.45,15,11,3.79,grocery,0
2287.26,37,24208.78,16,14,8.74,grocery,0
2952.03,31,110917.38,20,6,1.44,travel,0
6428.9,24,92617.91,15,16,17.83,grocery,0
1340.1,31,26068.45,12,18,3.89,utilities,0
1511.92,62,65363.91,16,15,4.54,utilities,0
6485.93,41,157422.28,14,20,12.23,utilities,0
1839.8,58,77091.5,11,12,16.07,electronics,0
815.43,20,145173.26,14,13,13.16,grocery,0
9023.96,19,113238.94,10,18,7.35,travel,0
15117.96,18,91171.22,13,3,6.86,entertainment,0
2944.0,39,23787.89,10,10,13.03,utilities,0
2297.84,25,130240.83,10,18,2.38,grocery,0
3936.96,42,55940.71,18,7,5.87,utilities,0
2074.95,40,69067.05,13,11,3.56,grocery,0
1612.59,32,13575.42,15,11,11.82,grocery,0
2989.35,31,77312.36,23,19,6.92,electronics,0
19075.67,23,65177.82,21,14,0.39,utilities,0
40294.41,37,138755.18,34,8,35.88,utilities,1
15437.63,18,23979.07,23,16,108.6,travel,1
3296.65,37,147097.44,18,7,10.14,grocery,0
6636.65,33,91750.52,10,8,7.02,entertainment,0
6124.19,32,167058.55,14,16,4.05,grocery,0
9959.62,40,68754.93,15,16,0.33,entertainment,0
6219.53,40,65446.97,13,12,9.77,grocery,0
10186.06,18,121211.78,16,16,19.67,grocery,0
4126.68,27,57798.04,16,9,9.22,grocery,0
12576.43,29,78571.54,19,12,18.42,entertainment,0
6429.41,47,37082.03,22,5,36.94,travel,1
2846.42,18,139356.11,10,20,5.94,grocery,0
5222.49,37,12828.81,32,0,15.42,travel,1
8571.36,26,35005.63,13,16,40.83,entertainment,0
3658.31,41,91491.98,13,14,3.14,grocery,0
1917.12,25,37279.33,14,16,4.63,utilities,0
7752.98,35,158680.57,11,15,10.22,entertainment,0
5467.05,20,41171.45,15,11,0.48,utilities,0
9088.36,61,78281.97,14,6,2.72,grocery,0
3889.99,24,50453.59,12,13,0.78,utilities,0
3186.61,39,41148.48,13,11,19.59,grocery,0
1736.6,51,54460.18,10,3,1.46,utilities,0
10607.87,46,93398.07,13,12,5.63,entertainment,0
41631.14,28,41517.39,24,5,109.55,travel,1
13798.09,18,263949.97,16,17,20.85,grocery,0
10906.23,33,62025.07,14,5,22.41,entertainment,0
4086.36,54,85520.03,17,18,6.36,utilities,0
8198.66,22,33857.04,9,13,8.11,utilities,0
6552.78,35,87928.58,16,9,18.77,travel,0
5623.21,43,61937.87,16,10,15.25,utilities,0
10684.61,47,104107.71,16,16,0.66,utilities,0
6248.45,26,48344.07,18,10,25.1,entertainment,0
2556.66,32,69073.57,15,14,1.29,electronics,0
3141.79,51,89304.16,13,17,15.97,grocery,0
6811.06,49,45676.32,14,10,4.64,travel,0
3221.47,38,85614.13,16,11,4.79,utilities,0
4186.57,19,100620.23,16,13,8.32,electronics,0
8691.43,29,26510.76,25,11,31.28,entertainment,1
1828.25,18,81710.57,9,15,2.75,electronics,0
9515.13,18,37671.44,16,16,2.72,entertainment,0
5418.59,50,63765.01,12,16,5.75,utilities,0
17891.14,49,127473.69,9,15,14.92,entertainment,0
3607.67,41,32723.43,19,9,11.47,utilities,0
3914.78,21,132564.03,9,12,16.46,grocery,0
8599.35,34,140620.5,24,15,5.09,electronics,0
9544.73,46,50537.72,13,16,9.62,grocery,0
1987.4,51,32507.64,14,10,2.95,grocery,0
4070.91,18,26735.52,15,12,5.4,electronics,0
8567.7,29,155863.74,16,11,14.41,utilities,0
18777.85,43,143731.87,15,14,8.67,grocery,0
1877.93,46,34874.56,22,13,22.8,grocery,1
2900.79,18,67349.21,14,11,2.56,grocery,0
11508.36,23,71126.33,18,19,2.3,entertainment,0
4394.2,30,240403.96,17,10,7.15,grocery,0
4814.31,34,36739.84,19,1,171.41,electronics,1
9396.22,46,54409.97,9,10,3.86,travel,0
15701.15,31,102832.61,17,11,12.94,entertainment,0
9066.38,42,126478.04,19,16,0.22,travel,0
10765.43,40,38040.81,28,21,7.49,travel,1
13675.96,40,104827.5,12,21,11.09,grocery,0
3191.36,18,56251.17,18,15,2.51,grocery,0
14194.69,32,177004.86,10,5,33.56,utilities,0
8267.58,32,35582.32,17,13,4.65,grocery,0
4927.77,32,56229.2,18,15,13.68,grocery,0
15320.3,36,116963.29,18,13,0.15,travel,0
7884.19,53,20662.93,5,12,10.41,grocery,0
2838.76,44,74131.81,10,6,2.3,travel,0
10631.67,48,14005.03,24,11,61.47,travel,1
18002.46,21,44907.07,12,9,3.4,electronics,0
5911.8,32,156322.78,25,12,17.42,utilities,0
3778.18,35,94819.39,14,12,8.91,grocery,0
4930.38,44,39675.48,14,9,4.34,grocery,0
14210.29,24,68269.87,8,12,0.52,grocery,0
5758.44,31,51786.98,14,9,32.63,grocery,0
3743.82,27,35507.34,11,15,4.73,entertainment,0
4100.4,52,53484.69,12,16,13.04,grocery,0
3686.38,32,35656.23,10,16,14.45,electronics,0
