transaction_amount,customer_age,account_balance,num_transactions_30d,transaction_hour,distance_from_home_km,merchant_category,is_fraud
3181.37,36,126841.95,14,15,2.34,electronics,0
4856.81,46,48437.18,13,14,4.98,utilities,0
3420.49,31,78112.73,23,11,6.23,electronics,1
2049.79,33,36973.62,21,13,24.8,electronics,0
15801.37,31,88794.07,11,7,0.97,electronics,0
4898.1,23,119353.54,10,14,22.53,electronics,0
8137.78,29,37272.81,18,12,12.16,utilities,0
4736.71,22,71421.78,25,5,93.09,grocery,1
21524.25,39,79739.99,19,14,21.53,travel,0
5725.36,19,63121.15,33,1,33.16,grocery,1
9605.0,24,128990.21,12,14,3.8,travel,0
3049.49,53,107787.35,11,12,2.65,entertainment,0
2773.64,18,123413.31,10,16,3.84,utilities,0
9889.04,23,133436.96,28,8,67.54,grocery,1
6721.92,21,40614.12,20,20,21.58,electronics,0
5244.02,23,65907.79,21,18,2.19,travel,0
6775.66,33,82733.88,22,8,3.77,utilities,0
9494.21,25,83004.37,21,19,9.69,travel,0
4768.76,18,53288.45,30,5,40.11,grocery,1
10958.81,35,39786.4,24,2,82.12,grocery,1
5928.84,27,44827.43,14,9,15.42,grocery,0
874.08,48,85415.05,16,15,17.46,grocery,0
3411.22,18,50466.63,14,13,23.02,travel,0
1652.76,42,72671.51,16,12,2.2,electronics,0
11205.91,33,97606.78,14,10,13.85,electronics,0
6721.26,37,40349.23,20,9,18.55,electronics,0
2019.0,18,33312.12,12,10,16.98,utilities,0
11960.39,32,188332.85,14,8,10.14,entertainment,0
5515.27,47,84058.9,13,13,15.78,utilities,0
4263.58,42,24001.22,22,15,10.08,travel,0
1711.91,28,190162.74,15,14,2.28,utilities,0
4882.19,30,40120.08,11,14,7.8,electronics,0
2763.55,34,206574.71,17,11,11.91,entertainment,0
9769.21,36,129033.22,14,14,11.72,travel,0
5660.52,34,106044.02,14,14,25.97,travel,0
11125.15,22,39078.58,25,6,135.64,electronics,1
10597.21,21,73390.48,13,21,13.28,utilities,0
3027.29,37,72193.42,15,19,2.95,entertainment,0
2149.92,44,115637.1,17,12,2.37,electronics,0
11134.08,22,190181.03,13,16,12.62,utilities,0
8366.41,21,86384.28,13,16,9.52,travel,0
2612.97,67,105682.43,12,20,3.47,utilities,0
12848.11,37,53443.99,34,1,133.39,electronics,1
17636.37,43,39294.27,14,10,24.75,travel,0
3148.56,50,22497.06,10,13,30.6,entertainment,0
6686.76,18,37997.68,14,18,17.13,grocery,0
2264.91,33,151231.36,10,13,26.97,utilities,0
1901.35,21,65442.06,13,20,10.39,utilities,0
1577.12,39,84351.81,13,16,14.29,travel,0
8502.52,25,94028.11,31,3,26.52,travel,1
5118.28,45,61047.41,12,12,11.16,grocery,0
1750.67,46,63806.09,15,12,18.82,entertainment,0
3763.71,41,26488.39,16,13,19.6,utilities,0
8050.58,20,86426.49,14,13,35.39,utilities,0
8272.34,38,30349.33,19,15,2.27,utilities,0
4808.64,30,32901.26,12,12,6.93,entertainment,0
9527.45,33,36014.36,26,13,20.75,entertainment,0
3486.17,25,102092.88,14,19,4.77,entertainment,0
1322.87,33,35424.05,20,13,1.88,grocery,0
3552.86,25,72284.73,15,16,3.67,travel,0
3961.65,43,78623.76,14,13,20.94,utilities,0
13259.58,40,51686.77,13,11,20.86,travel,0
3828.79,51,83134.06,14,10,12.68,utilities,0
21638.29,34,73110.12,13,17,8.05,electronics,0
1889.98,47,77324.94,11,10,22.16,utilities,0
4522.99,27,93789.5,24,9,25.61,travel,0
1847.86,40,80623.88,13,18,2.8,utilities,0
2385.97,32,47643.67,14,15,22.07,grocery,0
3390.72,31,65054.38,12,9,1.01,travel,0
8970.07,45,68854.91,28,0,7.03,grocery,1
5676.07,24,40074.33,17,16,2.96,electronics,0
6900.77,29,100774.27,13,15,1.62,electronics,0
2486.44,34,54367.66,18,19,2.67,utilities,0
